video_id,positive_comments,neutral_comments,negative_comments
-6_kRAZXyu0,25,24,1
-73ELN3Ui9M,12,3,2
-75lgf3yfFI,7,6,1
-796d2SqI_8,1,0,0
-7b8NjtHtlA,2,2,1
-7iaqnhqQgw,8,2,0
-7jwCWPor9I,9,2,0
-7k4nq9TqWU,4,0,0
-7PPeiW6SW8,30,14,6
-7qHuqIeuSY,6,38,6
-7UdmBfsJm4,0,2,1
-7ul-Ql7A5U,2,1,0
-820sRZ6HXs,9,0,0
-8557_6623Y,10,39,1
-85aM6bUK1k,4,5,1
-85LL1_pgyw,2,0,2
-8cAxf2ddYo,3,2,0
-8H_w5Ih2d4,0,0,0
-8KeKtQTfpg,2,2,0
-8pWG42y7Ck,30,9,6
-8yCGzF8PO4,0,3,1
-93F6DnY7Do,1,0,0
-9C-epIpZGQ,31,14,5
-9dHO6AOF8I,2,4,1
-9PHLAQYRjw,0,1,1
-9trKFCK0JQ,3,1,0
-9uSgIcN3wA,21,18,11
-a0k1cgU3x0,7,34,9
-A4k8_DsBGs,5,2,0
-a5vTlpPUcc,0,6,1
-A75_TLwRPY,16,19,14
-A7SXK2NmU0,0,0,0
-A9LP7YK4Zc,0,0,0
-abDqkTwxOI,1,1,0
-Absh6i6l94,6,35,9
-acXOQcnwoc,0,9,4
-aeac_9b6FA,31,15,4
-AgUnY30Km4,0,9,10
-aGUOgeT-7M,1,49,0
-AJ7l34iOqc,1,1,2
-aKAyaU1Y4I,33,12,5
-ATd_oaKZtM,1,0,0
-atg3e6kQPk,1,1,1
-AuFoTGK2A8,3,1,0
-AyVwtELXDI,3,6,0
-azFrL6b6bI,0,0,0
-b1-Nt4n6OI,7,30,13
-b3fUObgvCM,1,3,0
-b8UC3eBi4E,9,6,1
-bed_RETQDs,6,3,1
-bGsbtvz1T0,1,1,0
-BHn_LjZYQk,16,20,14
-bikDU6idQE,7,36,7
-BiwqGiSERo,7,1,2
-bKeLncdGOM,2,20,10
-BkMsbAq1K8,6,1,0
-BmR6J-IkUs,12,3,0
-BNeX4O8REk,0,0,0
-Bo_51CxTKQ,13,7,2
-bpvZq0vyHQ,4,3,2
-bpyONZNJZQ,0,5,0
-BQU4-quEQY,9,5,2
-btCSgTNht4,0,0,0
-Bv8j5oZTWA,1,0,0
-bZGh39IQK4,27,11,0
-c8090n1Ihs,9,3,9
-cafZ2NyNn4,3,18,3
-CaoQNVC1Ng,24,3,5
-caZz96x-C4,4,0,0
-CbjokZP_6A,2,2,1
-cBLiJzhpmc,2,0,0
-CdmSTz01D8,0,1,2
-CDNrEpZBp0,10,1,1
-cDU1Axl_FY,6,10,4
-Cdw81ZCxAQ,0,0,0
-cETn-B1Nd4,2,0,1
-chaIAYaJHE,21,4,10
-CHkk4Sy1KE,0,0,0
-CjBjF_tQBY,23,18,9
-CLGVavc74A,30,13,7
-CM8jmuRwAA,2,2,0
-CMi9bDmhRw,3,4,1
-CPFUi9ziqM,0,17,0
-Cpu1ilikyk,29,15,6
-CpX5pM7s3E,2,0,0
-cu9z4bGuSY,0,0,1
-cXQ-M67evY,0,0,0
-cYcELTUW-A,6,40,4
-cZeGzFYvTU,1,0,0
-c_SVaYfGF8,0,0,0
-d2VZb4EDiY,3,0,0
-d3mPHrO4ok,0,9,1
-d6UClpJQMY,6,24,1
-d71aBOoOPM,0,0,0
-D7AEZ7tgvU,2,0,0
-D8dpQ4cKLk,0,4,1
-dbvv_4IzgQ,35,14,1
-dBZUww_7X4,39,6,5
-DcrLbrlIFI,14,1,1
-dKLPEPe_OI,0,3,0
-dk_0Buymf8,0,0,0
-dLME51lFFA,2,1,1
-dM57LVq5Ww,5,40,5
-doquLIS0pA,6,3,1
-Dt0sMDmJlE,3,1,2
-DvVVLRmMWw,13,8,2
-dY7dlqPikw,0,0,0
-D_gCSxPA08,5,1,2
-e6oHtGq8Vk,0,0,0
-e7GslCPt5k,4,3,3
-EA9W7R_oKM,1,4,1
-Eclzt1WvL0,27,13,10
-eCsQuhxFYw,7,3,1
-ecys5N-fm8,3,5,4
-edSZWxV_3A,1,1,0
-eHSjyvfT6s,3,4,4
-eI14QRrs1M,4,22,2
-EI42Aqy_ms,2,0,1
-EIJOFASan4,3,1,3
-EiqmqczIOk,0,1,1
-ej9-0HI458,18,12,9
-EKqplBDa8w,0,2,0
-eMEKbHhVgc,3,0,0
-ESGOcahqtw,11,4,0
-EsJaaGot6I,1,3,1
-esQ-Rxnf6E,1,2,0
-eUTy2a0LG0,0,0,2
-eWuOlvV1eU,8,0,0
-eyDS81FADw,8,3,3
-F1UEccA7aY,0,4,0
-F7m02XDfvE,7,3,0
-FaISGHtybY,0,8,0
-Fc5B1nOicc,0,14,0
-fcB21lYmY8,3,1,3
-FE48_mEW54,3,3,0
-FE8P1OFQZU,0,0,0
-fEFvemPbfQ,0,7,2
-FFhN8L7Unc,1,0,3
-FFK71fgKug,0,2,0
-FFPeN_me88,2,6,0
-fIKBoOojCU,36,7,7
-FlPyaIkwRY,14,0,0
-Fo9NMAMGQk,2,2,0
-Foa5FlegVM,0,0,0
-FPTH2hzfE8,0,6,0
-FQLbR11MG0,1,16,0
-fSgcLxGz3s,2,1,2
-fT8n3Dpn3c,0,2,0
-fvzMsr44LE,3,3,0
-Fw172d22XQ,3,1,0
-Fy28frincc,0,3,0
-g45-r8aqAA,0,2,0
-G7zgryDBz0,17,17,6
-g9NzE4tYes,17,7,0
-GARgxvMz2o,1,1,0
-GdiDJJYoIc,0,0,0
-geckQbCj5s,1,1,0
-geYWeu2Wgk,19,4,2
-GfQmY7p6qE,2,0,0
-gJowum5IUQ,12,8,2
-gOONAufP0o,0,2,0
-gorqucn8Io,2,2,0
-gOY65mZOKA,1,1,3
-goz5nsTH4c,0,0,0
-GpkhpJbZP8,19,16,15
-gpmNz8IAPo,19,3,3
-GTDIlY_cP0,2,1,0
-gURiJB9NB4,7,2,11
-guXu2eOuW0,1,27,4
-GzIu6PYxX0,3,5,1
-h-1E9e3fsU,0,0,0
-h4Ouk5xM6c,0,0,0
-H9BdyyjamI,2,9,0
-haZioyKVhA,0,4,2
-HcKP6NXxFA,0,0,0
-hfkevlggT0,2,4,1
-hHMFqPhopE,6,0,0
-hKIq26AFoA,4,5,6
-HmHe9kiehY,22,27,1
-hmZ52tK1f0,3,9,5
-hn8-4W3oDs,39,10,1
-hpaKx4pWCc,6,22,4
-HsM3aD0gxY,0,13,0
-htle_m4Hjg,36,11,3
-hU7UMSzKhk,0,0,0
-hx-GdFc0S0,4,3,0
-HX28GytgDQ,1,1,1
-hXntcgKnDA,2,0,0
-hxvIdfJ6uo,1,1,0
-HYBRcPlwpY,5,11,4
-HYkmKoHEls,0,1,0
-hymI41lyzE,0,0,0
-Hzy8qj9qto,0,0,0
-i2hNmpKnEk,23,22,5
-I3dcXkCdro,6,6,1
-I6UAy8EF6I,0,1,0
-IAlpfkEouw,0,13,0
-iANhg7kDd8,0,0,0
-iDMaCluimM,1,0,0
-IffErYq69I,0,0,0
-IfLzYVRnCA,2,18,2
-IFRp2PUL3w,4,1,1
-iIem73inP0,1,11,1
-IMHL7AotXw,2,7,2
-ioTs5M27mk,6,14,13
-ip-bBoKO50,6,3,1
-IqRqwwndCE,6,23,7
-ITDO0241ek,0,4,0
-iU8x-feJy4,0,1,1
-iuZfkrKo7k,0,50,0
-ixpbkLijYE,1,0,3
-ix_FrI4n44,2,1,0
-iyEfS4ArZA,0,0,0
-IYJLuIUt0o,2,0,1
-iyUylOa_5A,28,4,12
-j-X6OxmLHw,3,20,4
-J5k7Axl2LA,17,3,0
-J8UzGnJTGg,0,2,0
-jBLDTtGJGs,9,8,1
-JcKbMiAa1c,12,24,14
-jCQ-mHw65k,6,0,1
-JfM0Ljc3Ak,4,2,2
-JhJfGxrCQw,1,0,0
-JhwEvsapC4,19,13,4
-jmeoXpfrdk,3,14,2
-JoQc8ceLiU,2,1,1
-Jr4fT5NIv0,21,25,1
-JRNzKsY00E,0,2,0
-jSa-IaOoI8,0,0,0
-JsVJ1HEalg,1,0,0
-jtDUYwdHzs,23,19,8
-JWcBG9DP3E,37,11,2
-JwHOQiBLKw,3,3,1
-jXQiUfHUUs,1,2,0
-jXu-AphwZ0,39,9,2
-jzCEZjTPI4,2,4,1
-J_z8UlIsSE,0,50,0
-K0W4GgclEw,0,11,0
-k3-20KbDpI,0,15,4
-k43_-b0iCs,0,3,0
-katNQrSp_c,0,0,0
-kDQE7ArpKk,46,3,1
-KeV7ShEB8s,6,1,1
-keVMmSU5QE,1,1,0
-kf75rjXKf0,1,0,0
-KFdAmyXxYQ,22,9,19
-KGUnd2dx_0,7,3,1
-kgVGFK6BVI,12,24,14
-kiDd9YXAek,13,6,7
-kk6W79Yvow,1,1,0
-KKpETlFluo,18,5,1
-KlP_iKC3o8,1,1,0
-Knj6at2cSI,10,1,2
-kohonyktTI,2,17,10
-kOx24_B08s,16,5,2
-kpTlLOb22s,2,5,0
-kQ6K4n3IF0,0,3,0
-KtLf5-32wY,1,40,0
-L180BbVTyM,25,22,3
-L4FCgsv66I,5,3,1
-L5fgXc5NM8,5,1,0
-lbbMwi_d0U,6,2,0
-lCCa6__uvY,0,1,0
-LDD72vvloI,15,14,8
-leHk_wH3hc,0,4,1
-LeLnymiBVo,30,18,2
-LFOlZ5u0FQ,29,16,5
-lGzxKdBZfc,0,2,0
-lH1t_MaDYU,4,1,0
-LH8zB7wZOE,33,10,7
-lhc6nu-dG4,20,16,14
-ljz8nwpess,35,9,3
-lLbeNMp6VA,0,2,0
-Loi-0EEJD8,8,1,0
-lP72S2vYGA,3,0,1
-lPdVD4HI9k,12,8,2
-LpIwQ4ZaQY,0,1,2
-LpxhBZQMcU,0,0,0
-lQ92xw-QoE,0,0,0
-LQukPB6wGA,28,17,5
-Lrpo0PA8M0,2,2,1
-LTPFXDKtpg,0,0,0
-luI_vEYAV4,1,1,0
-LVDL62Cg7E,1,2,1
-lWDDu47Idc,30,14,6
-LY-nVtjwZA,1,0,0
-lz84wwcOm0,0,5,0
-LZK6wYy9WU,5,1,1
-m0YccQiCZA,7,1,0
-m93e-aawE8,11,5,0
-mB6ZK-F4o8,36,10,4
-mbSblg_vts,24,22,4
-mCLH0BxC2U,17,5,5
-mg7-ctJUU0,0,50,0
-MHeV9YPFfo,6,35,8
-mHsV52HbtI,6,36,8
-miSrl93Wpg,5,0,0
-MjjxkTIhas,0,0,0
-mJKOqoPyOA,6,5,1
-mMHezyiOlA,10,1,0
-mnZlwzwgV8,0,0,0
-mPAnqKzcBI,0,1,0
-MqcWQgBBPw,16,16,18
-mSCn1mlYbY,3,5,1
-MT_ogkNHD0,0,0,0
-MvgxYfgEqg,17,7,6
-MVYiDhIGt8,13,1,0
-mxBIjJIPek,14,29,7
-My5de6UIfo,1,0,0
-mZwzk_Vr_Q,15,19,16
-m_NMKTvDbQ,13,1,1
-N0a_nBRfcM,27,14,9
-n1ECSpOfCg,0,1,0
-N24wZKGA5A,0,0,0
-N2i6Dj41SA,1,0,0
-n5iNnFeUVQ,8,1,0
-n7XHUSAVMo,6,39,5
-n89Xz5DDOA,6,2,2
-n9ho1YLO8Y,0,0,0
-nactGMZXi8,3,3,2
-NaFkrbF7Pw,5,33,12
-nBkMrD3gXM,1,0,0
-ne3GctZE8Q,0,7,0
-NF6E3MONIk,0,1,0
-nihRUVjGQw,2,0,1
-NIiJSRsYHY,9,2,1
-NjocexS20w,0,2,0
-nL60tv0oiE,0,6,0
-nnlBeM6BSw,1,1,0
-ntNt6e2nK0,22,13,15
-ntpXfXjxjg,0,1,0
-NUdFr_t9kk,17,25,8
-nV5PCysnKw,4,15,2
-nW3AFyyd0U,24,2,0
-NWQELnbMM4,4,32,14
-NXbUSNEkBw,0,6,0
-o0L15CclaM,0,31,7
-O1Uom14SG4,2,1,0
-o2e-Fq8YPU,2,10,2
-o3FsiyJhb0,3,0,0
-o7WF6dXrSM,14,6,1
-oB0M7Tk34k,12,5,3
-obX1OmtIQY,1,49,0
-oEBR65g8ww,2,33,1
-oEZPESpuNw,6,4,1
-of3Irv-YMU,3,13,0
-OGfct-Eb4w,0,0,0
-OHzbyc4KOk,0,0,0
-OJiHncNJ7U,1,0,0
-oJ_3Bm3iBY,14,4,1
-okX-8qe_po,7,3,5
-oN-4UQUIoI,16,12,22
-opeNdVudns,0,21,0
-OPmhsZD2U4,5,6,1
-oWDUjyHu0k,16,2,1
-ox3EpzvsJ8,13,4,0
-oXXSx6-UCE,0,0,1
-Oy5mqurLMM,28,18,4
-oYVsHUrjww,0,0,0
-OZcJnOQsSo,26,19,5
-P0LNzw71jE,3,1,1
-p839owxSTM,0,0,0
-pbxFhJJVzw,2,2,1
-pfP1xNaBmY,21,5,7
-PknNC7jwdM,1,4,6
-PlnbqUcjwY,24,6,3
-ppt4iWEw3o,8,3,2
-pQDxYguDs4,23,18,9
-ptCuawYYSg,12,5,3
-PunOuCs74M,0,1,1
-PvgpDexwlg,23,14,10
-pXVZO9y62A,0,1,0
-PyllAj6zVM,0,0,0
-Pywqp5hZaU,0,0,0
-Q96fKtXMOw,12,25,8
-Qa6UfUgaUA,0,0,0
-qcHwhRvm7g,0,0,0
-qcUDDD-HXM,0,2,1
-QdmBNXeR1E,8,40,2
-qDocti11vg,1,11,0
-QFNe-9FtBE,8,5,0
-qgarifbp10,1,1,0
-qiEi2IfYYc,21,25,4
-QiZlsq9B5A,1,1,0
-qJI06U6Taw,0,0,2
-Ql3A_wiedc,23,13,14
-QL7XHWWyDA,1,2,1
-qlbbJt4dMA,1,3,0
-Qv6PpULbMo,2,2,0
-QviTn57kcU,2,0,0
-qvSzzb0Eus,2,4,1
-QyUlQcdy88,12,3,0
-qzvPFo-UPk,0,0,0
-q_LG0t9jFQ,6,2,4
-R-7S_w4L2s,0,0,0
-R-WWLHf5Fg,11,38,1
-r9d-CnhXoI,1,15,5
-R9gcTAlJbM,16,3,0
-RaLNQh6L0k,0,0,0
-RdvJRPb1lM,9,4,1
-REP4oUi3YM,33,13,4
-RFI0f01VkA,2,2,1
-Rke0mYuVFE,0,0,0
-RKL_iZubz8,6,0,0
-RKQINGwse0,14,5,6
-RLGf0C5cyQ,2,10,0
-RoNs-_aUMk,5,1,0
-rqcwAwEtbY,3,1,0
-RS3LO4-YQc,3,5,1
-rsfpi4le-Q,11,1,1
-rTlji5xAJY,0,0,0
-RwH5Qv0-_w,1,3,4
-RWY_KBbKY4,0,0,0
-R_bsIZA3cQ,4,7,0
-sC5jrjZC4Q,4,2,4
-ScN3N449B4,2,1,1
-SD-Om_4Q_c,14,9,5
-SDR7IPiNrs,17,29,4
-sEiibIvZv0,1,2,0
-sG0B2NiQhk,2,0,1
-SKblZfcwmM,0,1,0
-sKHeti9vNE,5,1,1
-SOaI1HSb8E,12,2,1
-sOweI1CzDE,8,4,0
-sPBoVmwvk4,0,0,0
-Spbs97Dktk,30,16,4
-sPq7J5Fy-A,3,18,0
-SPWSPl60TI,3,2,1
-Ss1uT0JAAA,2,6,5
-sT2XYn7mBQ,5,4,21
-St7O9K7L8w,6,34,10
-STFm1pyZb4,28,12,10
-Sv9GfSmKHs,8,33,9
-SVEWMBLkg0,21,10,5
-svTg9UBX2g,36,10,4
-SVVwOghBfo,1,0,0
-S_6NprutQk,1,3,1
-t3r1cl3cws,0,4,0
-t4MlqT9Q14,20,5,4
-t5P_-EUiII,8,2,1
-t5XhI11bMs,28,16,6
-t7nPC-Ymzc,0,19,0
-tbekcO6z_Q,0,0,0
-TCKak4fl0g,8,1,0
-TfmY4-Th8s,6,5,1
-tGXBTZLOOs,0,0,0
-tH45jEY09A,0,0,0
-tjLjgpTsnA,2,6,1
-TKtGmsVHJ0,1,2,1
-tLnStRCDMA,22,14,14
-TQYsJE-_TY,17,4,2
-TqzjfNNaWc,0,5,1
-TtvG2tnIuU,6,0,0
-tutmgfU4k4,0,0,0
-tXdu3js_uI,13,6,4
-TXZf7cfuOU,21,5,7
-TyaYbEz94U,2,0,0
-t_Iv3pLDec,2,0,0
-u0ndh9_Trk,28,15,7
-U1AjJbxYQU,0,2,0
-U9emzjTxYE,15,1,3
-uAaaOdi4xI,33,11,6
-Ud9RdeNiqA,14,9,5
-UekKxcYB3I,1,0,0
-Uf7l2FlNg8,0,50,0
-uGA9s4KGT0,0,1,0
-ugTNnHdGS8,6,3,1
-uHM2gYpTSo,0,1,0
-UIQAJum1pM,0,9,0
-uJyC4RA_Ew,0,0,0
-uLqvdMVWUo,3,2,1
-UNVD8YJzQo,0,10,0
-UpAx25zo0I,0,10,0
-up_ookrJJM,11,0,1
-UQ4OYhYKVw,29,13,8
-uQzXPel3hc,5,0,2
-UsJvoqRJ4c,0,1,0
-usoxgpClYk,3,1,2
-UtKyfnesAo,2,6,4
-UuN8e_uHF0,1,1,0
-UvJYABcK7M,1,0,0
-uX16Rkwqts,0,0,1
-UZDAcrjttc,0,8,0
-U_Dg7KOOdg,4,1,0
-v4npaXVA8A,3,10,3
-V79R60TPeI,0,1,1
-V7Vv5P5KOo,4,0,0
-V8cK9lIpHc,0,0,0
-vBbhBQ-Hw8,0,0,0
-vduZEmtUXE,15,3,1
-Vf0kXnhRJA,0,9,0
-vHqcne2A7A,1,2,0
-vJ0r2SknFk,0,1,0
-vjy-FCXEbs,0,0,0
-VmGy8cexRw,0,0,0
-vpn-0jhgGc,3,1,0
-VQO_Yy1mdA,2,2,1
-vVFJHSVXTM,16,0,3
-VWuIncfZlE,19,6,0
-VxitBg9Hxw,10,1,4
-w1E7bKZXqw,0,0,0
-W4Hgtgib8s,1,6,8
-waIzZUfXsw,2,21,0
-wbrtReHND0,26,16,8
-WGUkXlFPG4,0,0,0
-WGYnD00PVQ,26,18,6
-WIPkK73s1o,0,1,0
-wPcborR1Ts,2,7,1
-wQgIgDj45Y,4,0,1
-WS1ee5GSM8,5,1,0
-Wt_mfWOLy4,2,2,2
-wx4bM_wmb4,0,4,2
-wYQuE7Wr1o,7,34,9
-x5Gc4q5RS0,12,2,2
-X7OYxu1WGY,0,2,0
-X8AQO-QU4Y,5,1,0
-XAhGOV4DSs,8,23,3
-xaT4ZavX1A,3,1,0
-XB2DtdbgRA,4,3,0
-xBivQm8ij0,0,0,0
-xD62BySPQM,0,7,2
-XDiNlfsp1s,0,0,2
-Xes8VYPdaU,0,30,0
-Xet8TULyKA,8,3,4
-XeW8iqS9c0,3,1,6
-XG3RU9bCE8,26,22,2
-xJB88-MOQI,7,3,2
-xjKwdLAucw,17,16,17
-xKCOkymwtw,0,0,0
-xKQXXIZr_c,6,3,10
-xm4mbXZR1Q,3,5,3
-XOeGswdlN0,1,1,0
-xQC1odErDI,0,0,0
-xQMe447_lE,7,11,20
-xR-yxjD7oM,4,3,1
-xR3_kNBAgc,0,0,0
-xrSnZf4TtI,7,3,1
-xRwd4etKzk,0,7,0
-XSjHR-h2w0,0,1,0
-xtCqDOFslQ,0,0,0
-Xvsb9fMqF4,5,1,1
-xwEhNl1Z7g,0,4,11
-XxzbmvARmM,3,3,0
-y0Qt8icQWU,0,0,0
-Y1n4TOMoS0,1,4,1
-Y2-ZMR5OYI,0,0,0
-Y4d0xCiExU,1,1,0
-Y8IObzQCaA,0,0,1
-YadlkGPAqs,0,7,0
-Yb_SR5oZ3o,3,38,9
-ydTO7cUxPQ,11,0,1
-YfnKd1U350,21,12,17
-YM-YyzZM7Q,2,2,0
-yN1rNR5n7A,4,2,3
-ypKnw57yTY,0,0,0
-yPOSQV3UqQ,3,2,0
-YQjyoEhKvQ,3,3,1
-yR-g53WOXU,0,1,0
-yrFxzLrknI,1,0,2
-YtHhOkn_Rk,5,16,2
-YTubozx3zs,13,27,10
-YW1mbFksEU,3,13,12
-YwcePHlLzU,0,2,0
-YWoaID5RME,0,5,0
-YyHXxfyHdo,2,0,0
-YYuT_wsJQs,0,1,0
-yzcvXRHKTE,0,35,0
-yZGfnO8QJU,18,19,13
-y_miIpm_GA,37,7,6
-Z0gIOYZcGc,0,5,0
-Z0Mz5LKnuk,3,0,1
-z0PLvewsb8,0,0,0
-Z10RZRCluE,18,27,5
-Z2KY-LrV8Q,7,7,3
-Z5bQZ1Fyls,17,22,11
-Z7SUEWCQr8,2,0,0
-zAe6k15Ngc,3,3,0
-ZaX02Arvh8,5,0,1
-zFVqnOy1Rg,0,0,0
-ZH7gttLb8E,4,5,0
-zjVmkuAov4,23,24,3
-ZnKVbFvnBE,12,11,0
-ZsDdOm1-WQ,32,14,4
-Zsqc4zsgrw,1,2,0
-ZVgOtszaS4,0,6,1
-ZXaUBDSiAQ,32,16,2
-Zz3zI5lsIo,0,2,0
-ZZvgTOyBzA,1,0,0
-_1wMu8qBjE,1,0,0
-_886cak5hc,2,0,0
-_9uz1lV4eg,2,2,0
-_a-l6BvFn0,0,1,1
-_cKapnAid4,0,3,0
-_IdFdeMj1M,0,7,1
-_k8lkIJVz4,0,8,0
-_Mo1ffqTdE,0,0,1
-_okikXSuPw,1,9,3
-_w2Q93P3oM,0,1,0
-_zHY92JOE4,0,1,0
0--s-RJKrUQ,1,1,0
0-aB7j5qDFQ,0,2,1
0-bx02gXiws,3,2,2
0-C1DrhsvbE,0,6,0
0-C8r4fZX5w,3,0,1
0-Cy6Gh2BpQ,10,31,7
0-doyA052-4,26,19,5
0-HmSiGI1ik,0,0,0
0-lRoymJl8g,2,0,1
0-rIi-WDDcQ,7,0,1
0-Tg7ajBSak,1,1,1
00bT6fU9IiI,3,8,3
00MXVLlLBGs,14,5,7
00nQ15EzgwM,22,4,2
00p4SKgXKqQ,27,19,3
00SqQh1YJ0U,0,0,0
00UdPZ7B6Vc,0,0,0
00wFXMrILmY,11,8,1
00WN66H08iw,3,2,2
00yW14EraPA,0,0,0
00zV2NJztBM,1,10,2
01-wq6BdKbU,21,9,1
01Awu57JIbw,33,4,2
01bGT7e-k9E,1,0,0
01CcdGtHq7M,2,0,0
01ga0UHclSw,4,1,0
01vWvocMc6M,20,22,8
01WVMFh1Ck4,16,5,4
028ZoIDkO0E,1,3,0
02aPO5x6LGo,26,2,0
02IqdxTZgL4,8,8,3
02l7qCzvExo,34,11,5
02lTvmfG-OQ,1,0,0
02M6FMKAAII,26,18,6
02mL73OF_AM,1,1,0
02NcsA_xNlQ,0,0,0
02PZPGGPN5M,5,34,2
02RegMu1wD8,0,0,0
02rMqV_q8S8,0,11,2
02u07q4QVuU,12,11,12
02ZHdzhGBTs,3,8,4
03DxhV56nb0,18,1,1
03fwyytrPl4,21,16,13
03h2JxylUxI,0,0,0
03OdgrEhnjY,23,11,1
03s9HBvNXZ4,4,2,0
03sRzCXigiA,9,8,4
03vO2r1muJk,18,20,12
03yr09DsmLU,0,9,1
03YtoBuZkH4,13,11,0
046RR3Mf8NE,36,11,3
04EE5X1FtXY,2,2,1
04NDR8I_yKw,8,38,4
04ONWCy4_HQ,0,10,0
04ywm_9yM7c,8,13,3
053TI6ta0_g,18,6,0
055TUH3ZadI,0,9,3
05C4FjImixw,4,1,1
05IQaTd_UVM,15,7,3
05l8bLRLdPU,0,7,1
05QLfX19LNs,2,0,0
05T2XMY3Prg,0,2,0
05vb9qGnTkY,0,1,0
05xFhFBo30E,0,12,0
05yPoRbFSSk,0,1,0
068YbYWD2M4,0,4,0
069ghBsiWkM,20,21,9
06dVCwK8Lso,1,2,0
06Fz60xVMZI,0,0,0
06kxR2g45JI,0,2,0
06nQ-HNkXfU,0,1,0
06tDhd8PUrU,0,0,0
06X6FUjBwfk,6,6,0
06Y46E88e4w,1,0,0
06yO3SX79Yo,1,2,1
06Yy4muVLI0,0,1,0
071ojJBpDhc,0,0,0
071pX4VmZ7k,11,1,0
078mWsgjP9g,3,1,0
079KdpnUwD0,4,6,1
07biq-a_1SU,15,14,5
07c5pCWpHAA,0,2,7
07CgPB1IZFk,0,7,0
07FL9hFJiW4,0,0,0
07frN2auisA,12,3,0
07HjH3kpZAA,6,1,2
07ImhzeY918,1,1,2
07mrmFQNkBo,0,0,0
07Og5_RoXCk,0,0,0
07q9dFNHVLk,11,14,25
07rG7MoiP5A,0,50,0
07Rm5B7bJVA,6,1,1
07TSWFLik8s,0,1,0
084B94IabRI,11,3,0
08CH6S4yWC0,0,0,0
08gW6bDnSgY,1,0,0
08HqDOnxuoE,3,1,1
08ikcp6sKbM,0,0,0
08JstL_b-H0,0,8,0
08KeysrkMtE,0,0,0
08Mp7NCgvt4,0,12,0
08PKuNi88MY,0,2,0
08PsRBb_b0U,1,0,0
08rCZQRHiHk,5,1,0
08SMJnwQqS4,10,21,8
08uL3TH9-ck,0,0,0
08VDq7JoNyA,20,2,1
090W9FEzl_c,1,3,2
096r8JlobPE,1,2,0
09B6PRYuw3c,1,0,0
09FJcCZdfJE,35,12,3
09GG1VGyFsg,4,45,1
09GlkOJXFXo,5,0,2
09ISoUGSZag,13,4,3
